datetime,channel,model,learning_method,RMSE,PC
2022-07-10T13:39:30Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Random_Forests,10344.45922,PC2
2022-07-10T13:39:30Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,10388.22759,PC2
2022-07-10T13:39:30Z,lifestyle,A: shares ~ weekday + selected numeric vars,Boosted_Tree,10388.88594,PC2
2022-07-10T13:39:30Z,lifestyle,A: shares ~ weekday + selected numeric vars,Random_Forests,10413.75829,PC2
2022-07-10T13:39:30Z,lifestyle,A: shares ~ weekday + selected numeric vars,Linear_Regression,10453.59905,PC2
2022-07-10T13:39:30Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Linear_Regression,10476.04931,PC2
2022-07-10T13:48:46Z,entertainment,B: shares ~ is_weekend + all numeric vars,Random_Forests,7639.993695,PC2
2022-07-10T13:48:46Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC2
2022-07-10T13:48:46Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC2
2022-07-10T13:48:46Z,entertainment,A: shares ~ weekday + selected numeric vars,Random_Forests,7745.570058,PC2
2022-07-10T13:48:46Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7763.064005,PC2
2022-07-10T13:48:46Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7769.00211,PC2
2022-07-10T13:54:54Z,entertainment,B: shares ~ is_weekend + all numeric vars,Random_Forests,7655.031466,PC2
2022-07-10T13:54:54Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC2
2022-07-10T13:54:54Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7733.466628,PC2
2022-07-10T13:54:54Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC2
2022-07-10T13:54:54Z,entertainment,A: shares ~ weekday + selected numeric vars,Random_Forests,7736.758355,PC2
2022-07-10T13:54:54Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7785.301687,PC2
2022-07-10T14:00:21Z,bus,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7923.849511,PC2
2022-07-10T14:00:21Z,bus,B: shares ~ is_weekend + all numeric vars,Random_Forests,7929.894374,PC2
2022-07-10T14:00:21Z,bus,A: shares ~ weekday + selected numeric vars,Linear_Regression,7942.377317,PC2
2022-07-10T14:00:21Z,bus,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7971.561787,PC2
2022-07-10T14:00:21Z,bus,A: shares ~ weekday + selected numeric vars,Random_Forests,7994.531675,PC2
2022-07-10T14:00:21Z,bus,B: shares ~ is_weekend + all numeric vars,Linear_Regression,8730.559651,PC2
2022-07-10T14:06:34Z,bus,B: shares ~ is_weekend + all numeric vars,Random_Forests,7926.194716,PC2
2022-07-10T14:06:34Z,bus,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7927.020093,PC2
2022-07-10T14:06:34Z,bus,A: shares ~ weekday + selected numeric vars,Random_Forests,7927.977458,PC2
2022-07-10T14:06:34Z,bus,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7938.25755,PC2
2022-07-10T14:06:34Z,bus,A: shares ~ weekday + selected numeric vars,Linear_Regression,7942.377317,PC2
2022-07-10T14:06:34Z,bus,B: shares ~ is_weekend + all numeric vars,Linear_Regression,8730.559651,PC2
2022-07-10T14:20:10Z,socmed,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T14:20:10Z,socmed,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T14:20:10Z,socmed,A: shares ~ weekday + selected numeric vars,Linear_Regression,4118.489537,PC2
2022-07-10T14:20:10Z,socmed,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4120.786613,PC2
2022-07-10T14:20:10Z,socmed,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4126.635916,PC2
2022-07-10T14:20:10Z,socmed,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4179.68235,PC2
2022-07-10T14:25:16Z,socmed,B: shares ~ is_weekend + all numeric vars,Random_Forests,3913.607556,PC2
2022-07-10T14:25:16Z,socmed,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4034.252767,PC2
2022-07-10T14:25:16Z,socmed,A: shares ~ weekday + selected numeric vars,Random_Forests,4071.220893,PC2
2022-07-10T14:25:16Z,socmed,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4106.968616,PC2
2022-07-10T14:25:16Z,socmed,A: shares ~ weekday + selected numeric vars,Linear_Regression,4118.489537,PC2
2022-07-10T14:25:16Z,socmed,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4179.68235,PC2
